# Vybe swap demo — token catalog from Jupiter datapi (Top list)
# Source: https://datapi.jup.ag/v1/assets/search?query=&limit=100
# Denylist: public/data/token-catalog-excluded.json (0 mints)
# Icons: /data/token-icons/ (run npm run download:token-icons to refresh)
# Columns: mint	symbol	name	logoUrl	decimals	tags
# Regenerate: npm run fetch:catalog
# Filter routes: npm run filter:catalog
mint	symbol	name	logoUrl	decimals	tags
So11111111111111111111111111111111111111112	SOL	Wrapped SOL	/data/token-icons/So11111111111111111111111111111111111111112.png	9	
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v	USDC	USD Coin	/data/token-icons/EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v.png	6	
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB	USDT	USDT	/data/token-icons/Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB.svg	6	
9BEcn9aPEmhSPbPQeFGjidRiEKki46fVQDyPpSQXPA2D	jlUSDC	jupiter lend USDC	/data/token-icons/9BEcn9aPEmhSPbPQeFGjidRiEKki46fVQDyPpSQXPA2D.png	6	
cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij	cbBTC	Coinbase Wrapped BTC	/data/token-icons/cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij.png	8	
2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo	PYUSD	PayPal USD	/data/token-icons/2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo.png	6	Token2022
USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB	USD1	World Liberty Financial USD	/data/token-icons/USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB.png	6	
9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump	ANSEM	The Black Bull	/data/token-icons/9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump.png	6	Token2022
98sMhvDwXj1RQi5c5Mndm3vPe9cBqPrbLaufMXFNMh5g	HYPE	HYPE	/data/token-icons/98sMhvDwXj1RQi5c5Mndm3vPe9cBqPrbLaufMXFNMh5g.png	9	
SPCXxcqXj6e5dJDVNovHN8744zkbhM2bYudU45BimGb	SPCX	SpaceX - Backpack Securities	/data/token-icons/SPCXxcqXj6e5dJDVNovHN8744zkbhM2bYudU45BimGb.svg	6	Token2022
pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn	PUMP	Pump	/data/token-icons/pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn.png	6	Token2022
7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs	ETH	Ether (Portal)	/data/token-icons/7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs.png	8	
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn	JitoSOL	Jito Staked SOL	/data/token-icons/J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn.png	9	
2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH	USDG	Global Dollar	/data/token-icons/2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH.png	6	Token2022
MUxEsUKSMACyw5fZf68wxf5FLnZVhtU9CwH8uNNGay1	MU	Micron Technology - Backpack Securities	/data/token-icons/MUxEsUKSMACyw5fZf68wxf5FLnZVhtU9CwH8uNNGay1.jpg	6	Token2022
JuprjznTrTSp2UFa3ZBUFgwdAmtZCq4MQCwysN55USD	JupUSD	Jupiter USD	/data/token-icons/JuprjznTrTSp2UFa3ZBUFgwdAmtZCq4MQCwysN55USD.png	6	
27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4	JLP	Jupiter Perps	/data/token-icons/27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4.png	6	
SNDKbwMUQvZhnLnxLduradgLHG5KrPuKwpnrkkGRhfH	SNDK	Sandisk - Backpack Securities	/data/token-icons/SNDKbwMUQvZhnLnxLduradgLHG5KrPuKwpnrkkGRhfH.svg	6	Token2022
3b8X44fLF9ooXaUm3hhSgjpmVs6rZZ3pPoGnGahc3Uu7	PRIME		/data/token-icons/3b8X44fLF9ooXaUm3hhSgjpmVs6rZZ3pPoGnGahc3Uu7.png	6	
A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS	ZEC	Zcash	/data/token-icons/A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS.svg	8	
G7vQWurMkMMm2dU3iZpXYFTHT9Biio4F4gZCrwFpKNwG	BIRB	Moonbirds	/data/token-icons/G7vQWurMkMMm2dU3iZpXYFTHT9Biio4F4gZCrwFpKNwG.svg	6	
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump	Fartcoin	Fartcoin	/data/token-icons/9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump.png	6	
JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN	JUP	Jupiter	/data/token-icons/JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN.png	6	
